Fecha,Texto,Usuario,Localización,Longitud,Latitud
2020-06-06 14:05:24,RT @CrfMiraah: paro nunk? https://t.co/oNZDx2eBJ7,gregorio_isis,Jacarepaguá RJ,,
2020-06-06 14:05:25,RT @maltescut1: Disminución d los precios en -0.32 certificado x @DANE_Colombia ratifica número d desempleados que son + d 10millón compatr…,GERPASO13,,,
2020-06-06 14:05:25,Antes de noviembre Trump consigue de nuevo el pleno empleo.,CObtusus,,,
2020-06-06 14:05:27,"RT @albertoplaza: 👏👏👏👏👏
Sorpresiva baja de desempleo en EE.UU. inyecta fuerte optimismo a los mercados mundiales #Emol https://t.co/wC3oor7…",Horuhe101,,,
2020-06-06 14:05:27,"RT @JonathanHeath54: Si bien es cierto que habrá una contracción significativa en la actividad económica de México este año, el FMI proyect…",JoelVargasZempo,,,
2020-06-06 14:05:28,"RT @MariolaPR: WTF?!!
Apuñalan a una persona en fila de desempleo en Centro de Convenciones https://t.co/ARkSEsz2P3",DiegoMa17408704,,,
2020-06-06 14:05:28,"RT @oscarcerda56: Insólito, similar al paro de estudiantes de Arquitectura de la misma Universidad de Chile que señalaban tener sueño, acá…",b_chacana_p,"Santiago, Chile",,
2020-06-06 14:05:28,"As vezes eu paro pra pensar o tanto de jogador que o Cruzeiro vai  vender ainda, e o que vai ter de gente que não v… https://t.co/F5C4XFm0HG",apoiodocruzeiro,,,
2020-06-06 14:05:30,"RT @luisoliveros13: Mientras aquí estamos hablando de medios de pagos, escasez de gasolina y mendigando ayuda humanitaria, la economía de E…",julyrodriguezm,Venezuela ,,
2020-06-06 14:05:31,"@callodehacha @Claudiashein También son re jotos los demás, en vez de hacer paro corren",ElRolesIV,Ocotlan,,
2020-06-06 14:05:35,"No paro de ver vídeos en tik tok de como cotillearle las redes el teléfono y todo a tu pareja, de como alejarle de… https://t.co/SHjRd0wBZO",dreamm303,,,
2020-06-06 14:05:36,RT @spitta1969: Kichi dijo que había 40 mil millones de estadounidenses desempleados?,calcarlos50,"Buenos Aires, Argentina",,
2020-06-06 14:05:37,"RT @mmarquez0026: Estimado @jogecol , la culpa te la tienes que echar a ti mismo por seguir apoyando al chavismo. 

En donde quedan las fra…",bercardozo,merida,,
2020-06-06 14:05:40,RT @Antonio04103863: @CDBadajoz Vergonzoso Badajoz. Acabáis de perder dos abonados de 50 y 30 años de carnet respectivamente (jubilado y en…,JavierZH_AC1,,,
2020-06-06 14:05:41,"RT @jtgazmuri: Estamos presenciando el fin del capitalismo, tal como lo predijo el Frente Amplio y sus economistas",sorelycor,,,
2020-06-06 14:05:41,"RT @qtf: IMÁGENES de Reforma, Polanco, Embajada de EEUU ... me estruja el corazón. Aterrador ver las consecuencias de los discursos de odio…",BengalaMan,Mexico DF,,
2020-06-06 14:05:42,"RT @oscarcerda56: Insólito, similar al paro de estudiantes de Arquitectura de la misma Universidad de Chile que señalaban tener sueño, acá…",tennymont,,,
2020-06-06 14:05:43,Gataa❤,gregorio_isis,Jacarepaguá RJ,,
2020-06-06 14:05:46,RT @nacionrockera: no te paro de extrañar.,camilav61407904,,,
2020-06-06 14:05:46,"RT @HotSerenaVan: ""No paro de pensar en como me comías""... 💥🔥🍑💋
#picoftheday  #SaturdayMorning #saturdayonfire #SabadoDeGanarSeguidores htt…",desire_wet,"Barcelona, España",,
2020-06-06 14:05:48,RT @miguelenlared: Los medios y la banca (hoy solapados) anticipan siempre las crisis. Este parece un momento de impasse entre la minicrisi…,mbmiro,"Vila-rodona, Spain",,
2020-06-06 14:05:49,"RT @Arturo_Rdgz: Me volveré a ver muy mal si digo que vandalizar símbolos, huelga, paro, sabotaje y boicot, son formas  de lucha, protesta…",mazapancito2011,Guadalajara México ,,
2020-06-06 14:05:50,"RT @Anahata_1: Mientras los que llevan tres meses sin cobrar en un ERTE no pueden contactar con el SEPE, el gobierno tiene localizados con…",Lachicadel172,,,
2020-06-06 14:05:50,"RT @SerpienYEscaler: #Peligrosos #vientos de #confrontación 

Columna de @SGarciaSoto en el @Univ_Opinion

#miedo #desempleo #descontento #…",SerpienYEscaler,,,
2020-06-06 14:05:52,"RT @FrayJosepho: El turismo en la ruina, los autónomos desesperados, muchas empresas cerradas, subidas asfixiantes de impuestos, aumento br…",GatoCurioso77,España,,
2020-06-06 14:05:53,"RT @_menorM_: caralho, nao paro de pensar nela nunk ?",TalisuOk,Complexo do Z,,
2020-06-06 14:05:53,"RT @SujetaEl: 109.000 muertos a las espaldas por una gestión criminal y miserable, con medio país encabronado por el racismo, y va y suelta…",Daniel49763039,cai,,
2020-06-06 14:05:55,El apretón del desempleo masivo no  ha apretao por los estímulos que ha hecho el congreso. Pero eso se acaba el mes… https://t.co/gwVxujgxZA,JofcesCruz,Bayamon Puerto Rico,,
2020-06-06 14:05:56,@Walkeroftheline @Yaser_Piedrijo @almejasequeja 1986... Ha pasado tiempo... Si volvemos más atrás en el tiempo la m… https://t.co/44Mb3wFHgS,SocialEugenesia,,,
2020-06-06 14:05:57,"RT @Jou_Kaiser: A todo esto: a mi me estresa que ciudadanos trabajadores tengan que pagar impuestos, es decir, que tengan que trabajar para…",arno_roa,"Valdivia, Chile",,
2020-06-06 14:05:57,RT @sugashadows: no paro de pensar porque yoongi menciona tanto tony montana y que dijera “tony montana part 2? quieren una canción de jimi…,kookie34_full,En tu corazon ,,
2020-06-06 14:05:57,"RT @F_Sanchez_Drago: Menos mal que Trump aguanta. El paro baja, la bolsa sube, la economía remonta, el virus retrocede, los ultras palidece…",Diegos150,Málaga,,
2020-06-06 14:06:01,RT @the_raven77: En la anterior crisis me quedé en paro y después de un tiempo empecé en un nuevo trabajo radicalmente distinto al anterior…,RebelionCrew,The World,,
2020-06-06 14:06:02,"RT @Marysa191988: La derecha crea empleos precarios, la izquierda paro de calidad.",leodavinci2000,Spain,,
2020-06-06 14:06:04,"RT @qtf: IMÁGENES de Reforma, Polanco, Embajada de EEUU ... me estruja el corazón. Aterrador ver las consecuencias de los discursos de odio…",rosama8890,,,
2020-06-06 14:06:05,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",josetor39690454,,,
2020-06-06 14:06:05,RT @FroilLannister: ¿Cuándo va a llegar el ERTE de Inditex que todos los progres y medios afines anunciaban desde el primer día del Estado…,sehajolillao,,,
2020-06-06 14:06:06,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",AndrsAraya15,"Antofagasta, Chile",,
2020-06-06 14:06:10,"RT @Marysa191988: La derecha crea empleos precarios, la izquierda paro de calidad.",amarete64,SOCUELLAMOS C.REAL,,
2020-06-06 14:06:10,"Aló @IvanDuque habla Soros, para informarle q el mundo ya superó la #PLANdemia y están retomando su vida normal, ya… https://t.co/9Ht9LXjFrs",J0rge279,Antioquia,,
2020-06-06 14:06:12,"RT @emiesquiviashot: 🤔 Con 40 mil muertos, millones de personas en paro y miles de empresas arruinadas y Sánchez diciendo que la verdadera…",puntalamona1,"Marbella, España",,
2020-06-06 14:06:12,"Detrás de las cifras de pobreza y desempleo hay rostros y familias con incertidumbre.

Son muchos los mexicanos que… https://t.co/BjrwUoLANY",LariosHector,"Hermosillo, Sonora, México ",,
2020-06-06 14:06:12,"@leonardo_leblan @RawPapel @pnique 🤣🤣🤣
Qué CINISMO

O sea, que los tiempos cambian y el paro lo tenemos que asumir… https://t.co/ANwIqYcNUi",IndigenteMorris,,,
2020-06-06 14:06:18,RT @varcatch: eu não paro de pensar que se o patch pudesse sentir o toque os livros seriam cheios de putaria certeza https://t.co/QanCcKC63N,AnjoDoPatch_,,,
2020-06-06 14:06:18,"RT @rafaespana: 1/8 ¿Cuál es el problema con la deflación?
Que, mientras los precios caen, se vuelve más atractivo tener el dinero quieto v…",CortesBall,"Bogotá, D.C., Colombia",,
2020-06-06 14:06:19,"Pese a baja de producción e incertidumbre, Prokurica destaca que minería tomó resguardos y no paró  https://t.co/bbRSn6eT95",guillermobustos,"Concepcion, Chile ",,
2020-06-06 14:06:21,"RT @Aranciojelyfish: ※再掲
『绿谷总受哨兵向导PARO』 https://t.co/6cuPWprdsm",mixmixberry,,,
2020-06-06 14:06:26,Desde que tengo Twitter no paro de cancelar gente 😂😂#twitterteabrelosojos,magabm97,,,
2020-06-06 14:06:27,Revusen esa creencia que les dieron los diarios.  EUA cayó su subió en empleos. La magia: contar como empleados a d… https://t.co/czwt6FZ69e,garciaramireze1,,,
2020-06-06 14:06:28,"@yowahini @raquel_wales @SenderoPagano @PODEMOS Yo desde luego, me sentiría fatal pidiendo sin ofrecer nada a cambi… https://t.co/uoWXBxZrhd",trasmonte1955,,,
2020-06-06 14:06:30,"@expansioncom Siempre poniendo más leyes, más regulaciones y más impuestos. Luego se sorprenden de que la economía… https://t.co/QFOn6GVNQ9",NachoFinanzas,,,
2020-06-06 14:06:31,"RT @TITORODRIGUEZZ: 🇺🇸 PARA QUIENES se pregunten, ¿por qué #Antifa y el #ForoTERRORISTADeSaoPaulo han implementado el #PlanDeAnarquíaComuni…",maximusmartinez,,,
2020-06-06 14:06:32,"RT @Marysa191988: La derecha crea empleos precarios, la izquierda paro de calidad.",JOSERUBIA23K,Almería,,
2020-06-06 14:06:36,"RT @jkmincloset: Lo siento pero ojalá que todos esos que los tiraron abajo, prefirieron creerle a un par de desempleados y tirar odio a los…",seulgimasita_,“ minimoni; ᵒᵗ⁷ ”,,
2020-06-06 14:06:36,"RT @MACJL_uc3m: Fuerza mayor total y parcial: los ertes de transición. Nueva entrada del director del Máster, Francisco Gómez Abelleira, @f…",nietopatri,"Getafe, España",,
2020-06-06 14:06:37,"RT @hernandezcapri1: ULTIMA HORA:
El paro en España desciende en más de un 50% , el Ministerio de trabajo coloca a Fernando Simón para cont…",Piedraangular97,"Beas de Segura, España",,
2020-06-06 14:06:37,RT @AngieVelasco08: fua se me paro el pito,VigevaniMiBeibi,En donde Pedragie es real💖,,
2020-06-06 14:06:39,RT @floresimosquera: estos #colores; son de la #adrenalina es una hormona segregada en situaciones de peligro para aumentar la frecuencia c…,jaimenievesdiz,,,
2020-06-06 14:06:39,"RT @Aranciojelyfish: ※再掲
『绿谷总受哨兵向导PARO』 https://t.co/6cuPWprdsm",tdbkdkP,🇦🇷 (ENG/SPA),,
2020-06-06 14:06:40,@anistonrafferty esperava colo e vai receber block................. fui assistir aquele último vlog da andrea e não paro de chorar,melwoodbae,ǝʌɐ uooɯʎǝuoɥ,,
2020-06-06 14:06:41,RT @DinaBousselham: Miserable.,PulidRebeca,"Gerona, Cataluña",,
2020-06-06 14:06:43,@MrPosesion @Victortf1983 @tjcope Han salido del erte colega.... Están entrenando!,Juanrodvin,Toledo,,
2020-06-06 14:06:44,RT @2L_Sagaz: @_pxsilva @GabySantoos01 Paro nuncaaaaaa.😂,_pxsilva,Ana Luíza 👩‍👧💞🥰,,
2020-06-06 14:06:44,@JMilei La deuda no creo q se pague. Capaz q  los acreedores se la venden a China y despues los chinitos sabrán com… https://t.co/JDVURYSK9G,Horacio91297683,,,
2020-06-06 14:06:44,tem nem ligar pra sair e eu não paro de comprar coisa pela internet pqp,__tainaoliveira,,,
2020-06-06 14:06:45,"RT @cleosagas1: Hola @Ruiz_Noticias podrías pasarle esto a Joaquín?
Gracias, es q el viernes dijo q se habían reducido en dos millones y me…",JMNG7,Compostela,,
2020-06-06 14:06:47,"RT @Glencys: 3 Caballeros, profesionales, seres humanos maravillosos. Hoy injustamente privados de su libertad. Héctor Rivero, Rodolfo Carr…",maribelazu,@ccs,,
2020-06-06 14:06:47,"RT @FrayJosepho: El turismo en la ruina, los autónomos desesperados, muchas empresas cerradas, subidas asfixiantes de impuestos, aumento br…",antartida8,,,
2020-06-06 14:06:47,"RT @JavierArocaA: Y la prensa española todavía no se ha enterado , por lo  visto. O no ha llegado el becario traductor .",artabrum,,,
2020-06-06 14:06:49,"Quisieran que puedan ver un segundo lo que pasa por mí cabeza, un sin fin de posibilidades de porque falla el auto,… https://t.co/8d5UiL0gM7",giiaan98,Florida,,
2020-06-06 14:06:52,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",blackpato1980,,,
2020-06-06 14:06:54,"RT @ManoloMillon: @CatilinaLucio @Luis_I_Gomez @velardedaoiz2 ¡¡¡Tachaaaaaaaaán!!!

https://t.co/lKdCTnt0b7”.",fjballest,madrid,,
2020-06-06 14:06:54,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",kunamaskta,Chile  Arica Iquique,,
2020-06-06 14:06:54,@Diegourug Shock de demanda con 200k en seguro de paro y 15% desempleo?,storterolo1,,,
2020-06-06 14:06:54,RT @JavierArocaA: Pues resulta que el entusiasmo sobre las cifras del paro en EEUU era un error estadístico .  Y ėstos no son epidemiólogos.,artabrum,,,
2020-06-06 14:06:54,"RT @CristoBustos: No cerraron el aeropuerto a tiempo, no giran plata a los hospitales, no protegen nuestros médicos, desecharon la renta bá…",juanitoman0712,"Barranquilla, Colombia",,
2020-06-06 14:06:55,Mi novio me dio su buzo y tiene su perfume no paro d extrañarlo 😭,ludddmilaa1,,,
2020-06-06 14:06:56,"RT @FrayJosepho: El turismo en la ruina, los autónomos desesperados, muchas empresas cerradas, subidas asfixiantes de impuestos, aumento br…",alfferedu,Madrid,,
2020-06-06 14:06:57,"RT @Fumatron_S: Que no os confundan los de VOX con el término despectivo ""paguita"", la prestación contributiva y el subsidio por desempleo…",RebelionCrew,The World,,
2020-06-06 14:06:58,Las 10 empresas que más crecen en Wall Street tras la caída del desempleo en EEUU - Infobae https://t.co/BtqYaRmqSZ,edwindelrosario,new york.,,
2020-06-06 14:07:00,"RT @laderechadiario: 🇺🇸 | #Economia: a pesar de los ""expertos"" que indicaban un nivel de desempleo alrededor del 20%, el mes de mayo mostró…",osvaldo_varela,,,
2020-06-06 14:06:57,"No, revisen el artículo en @washingtonpost que salió recién explicando cómo algubas cifras fueron omitidas o manipu… https://t.co/YxdqoBt855",ChristinaABosch,,,
2020-06-06 14:07:05,RT @errordesconocid: Aquí se pone en duda hasta la hora que da el gobierno chino pero nos tragamos la tasa de paro que da EEUU.,mzarnun,,,
2020-06-06 14:07:08,@jordi_alberola @tooneramos @DiegoLacave @jdpmad @Swinxy @RicardJove @DennisNoyes @MOTOCI_Romero @wxatgp500… https://t.co/MS3sJQ7c6D,PedroParra72,   Spain,,
2020-06-06 14:07:08,"RT @Aranciojelyfish: ※再掲
『绿谷总受哨兵向导PARO』 https://t.co/6cuPWprdsm",BET_G_B,"Acapulco de Juárez, Guerrero",,
2020-06-06 14:07:08,"@RamonVO83 @carrcga A ver si somos legión, que no paro de leer gente que dice que votaba socialista e IU...",mickk1__,2º Imperio ,,
2020-06-06 14:07:08,"RT @pratseva: La tasa de paro de EEUU baja al 13,3% en mayo y se crean 2,5 millones de empleos https://t.co/PSOJMiynL7",agcuartero,"Madrid, Comunidad de Madrid",,
2020-06-06 14:07:11,"RT @carnecrudaradio: ""250 ciudades gritan que las vidas de los negros importan en una situación distópica: con una pandemia no controlada,…",adoblas1,,,
2020-06-06 14:07:14,Sera cierto?  Que se cura tan facil #teamgirasol 🌻🌻🌻 algo que paro el mundo y creo un nuevo orden mundial… https://t.co/K8EJnVeZUr,Girasolmusic1,"San Jose, CA",,
2020-06-06 14:07:15,RT @ManifestanteE: @OrkoPatipelao Ay wn me dio paro cardiaco!!! pero que bello arriesgar tu vida para ayudar a otra es algo que me emociona…,nomeinteresayq,Valparaiso: Chile,,
2020-06-06 14:07:17,"RT @F_Sanchez_Drago: Menos mal que Trump aguanta. El paro baja, la bolsa sube, la economía remonta, el virus retrocede, los ultras palidece…",H3CTR_26,Vitoria (España),,
2020-06-06 14:07:17,arruinau yo que me paro la caminera 🤦‍♂️,Kevin33733999,,,
2020-06-06 14:07:18,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",PatricioLukas1,,,
2020-06-06 14:07:19,"RT @ipoduje: @jgalemparte No me vengas ahora con tu preocupación por los que sufren.y la violencia. Por favor. Uds hablaban de ""dignidad"" c…",jcarvall,,,
2020-06-06 14:07:24,"Cuando sacan la tarjeta de mujer, madre soltera y madre que fue estudiante sobresaliente, es por que no hay forma d… https://t.co/TGRtJxBINg",EliPocrita,,,
2020-06-06 14:07:24,"RT @F_Sanchez_Drago: Menos mal que Trump aguanta. El paro baja, la bolsa sube, la economía remonta, el virus retrocede, los ultras palidece…",espanolazo2020,,,
2020-06-06 14:07:27,RT @ffuenmayor62: El gobierno pretende que yo vaya al hospital por 40 dolares mientras debo gastar 20 en gasolina. Mientras Guaidó en vez d…,nomar1963,"iPhone: 0.000000,0.000000",,
2020-06-06 14:07:28,"RT @CristoBustos: No cerraron el aeropuerto a tiempo, no giran plata a los hospitales, no protegen nuestros médicos, desecharon la renta bá…",antropochoa,,,
2020-06-06 14:07:29,RT @Miguel04607190: @ziramata @MrsLanedice Me hace recordar al berrinche que ocasionó también una conductora de canal 2 hacia una cobradora…,aaneira,,,
2020-06-06 14:07:29,Lucia me está dando un paro cardíaco,conMdeMiriiam,,,
2020-06-06 14:07:30,"RT @ChauOperetaK: 🇺🇲ESTADOS UNIDOS: Ya se generaron dos millones y medio de puestos de trabajo en plena pandemia.

🇦🇷ARGENTINA: Sigue creci…",rubialiliE,Ciudad Autónoma de Buenos Aire,,
2020-06-06 14:07:33,Dios nos salve...,NYX011,Silverland,,
2020-06-06 14:07:34,"RT @jkmincloset: Lo siento pero ojalá que todos esos que los tiraron abajo, prefirieron creerle a un par de desempleados y tirar odio a los…",AndreaPR947,Peru,,
2020-06-06 14:07:37,"RT @ManoloMillon: @CatilinaLucio @Luis_I_Gomez @velardedaoiz2 ¡¡¡Tachaaaaaaaaán!!!

https://t.co/lKdCTnt0b7”.",arnelasjmgf,,,
2020-06-06 14:07:37,"RT @pratseva: La tasa de paro de EEUU baja al 13,3% en mayo y se crean 2,5 millones de empleos https://t.co/PSOJMiynL7",HaddockAdhoc,,,
2020-06-06 14:07:38,@yoonwinterbear sempre q o teu aparece na tl eu paro pra ver https://t.co/ue9Er9BopA,yerimsmiles,ㅤㅤㅤㅤ❍ ˒ ’ 𝗿𝗮𝘃𝗲𝗻𝗰𝗹𝗮𝘄,,
2020-06-06 14:07:39,RT @justicia_tame: Qué gana el Gobierno con terminar de asfixiar a TAME? Poner debajo de la alfombra una historia y una marca con casi 60 a…,geovann32831630,,,
2020-06-06 14:07:40,tem nem lugar pra eu sair e eu ñ paro de comprar coisa pela internet pqp,__tainaoliveira,,,
2020-06-06 14:07:40,"RT @qtf: Lo dije: En México también va a pasar ... aquí el inicio de lo que mencioné #AlAireQTF : quien siembra de odio, odio cosecha.
Los…",lumodiaz,,,
2020-06-06 14:07:41,"RT @gualestrit: Otra razón para la bajada de la tasa de desempleo.

La población activa ha crecido en casi 1 millón de personas.

A mismo n…",nitr0usmx,"San Cristóbal, Chiapas, México",,
2020-06-06 14:07:42,"@xbege_ Nama : Ibu Yini kalo dirumah dipanggilnya Ibu erte, umurnya 50tahun https://t.co/TyzncRzMkm",umikfh,"Purbalingga, Jawa Tengah, Indo",,
